SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3]
407364,1.0000,0.0007,0.0003,0.0000,-0.0257,0.0098,0.3275
407697,1.0000,0.0007,0.0004,0.0000,-0.0258,0.0099,0.3274
408031,1.0000,0.0007,0.0004,0.0000,-0.0254,0.0097,0.3268
408364,1.0000,0.0007,0.0004,0.0000,-0.0253,0.0095,0.3275
408697,1.0000,0.0007,0.0004,0.0000,-0.0257,0.0095,0.3268
409031,1.0000,0.0007,0.0004,0.0000,-0.0253,0.0098,0.3274
409364,1.0000,0.0007,0.0003,0.0000,-0.0253,0.0100,0.3275
409697,1.0000,0.0008,0.0003,0.0001,-0.0259,0.0096,0.3273
410031,1.0000,0.0008,0.0003,0.0000,-0.0255,0.0099,0.3279
410364,1.0000,0.0007,0.0003,0.0000,-0.0257,0.0098,0.3277
410697,1.0000,0.0007,0.0004,0.0000,-0.0256,0.0098,0.3277
411031,1.0000,0.0007,0.0004,-0.0000,-0.0255,0.0095,0.3277
411364,1.0000,0.0007,0.0004,-0.0000,-0.0257,0.0094,0.3273
411697,1.0000,0.0007,0.0004,0.0000,-0.0259,0.0094,0.3277
412031,1.0000,0.0007,0.0003,0.0000,-0.0257,0.0097,0.3274
412364,1.0000,0.0007,0.0003,0.0001,-0.0253,0.0096,0.3277
412697,1.0000,0.0007,0.0003,0.0000,-0.0256,0.0096,0.3275
413031,1.0000,0.0007,0.0004,0.0000,-0.0256,0.0095,0.3273
413364,1.0000,0.0007,0.0004,0.0000,-0.0257,0.0097,0.3276
413697,1.0000,0.0007,0.0003,0.0000,-0.0255,0.0100,0.3271
414031,1.0000,0.0007,0.0004,0.0000,-0.0257,0.0097,0.3276
414364,1.0000,0.0007,0.0004,0.0000,-0.0256,0.0097,0.3276
414697,1.0000,0.0007,0.0003,0.0000,-0.0258,0.0096,0.3275
415031,1.0000,0.0007,0.0003,0.0000,-0.0259,0.0097,0.3274
415364,1.0000,0.0007,0.0004,0.0000,-0.0258,0.0101,0.3272
415697,1.0000,0.0007,0.0004,0.0000,-0.0256,0.0101,0.3268
416031,1.0000,0.0007,0.0004,0.0000,-0.0255,0.0094,0.3274
416364,1.0000,0.0007,0.0004,0.0000,-0.0254,0.0096,0.3271
416697,1.0000,0.0007,0.0004,0.0000,-0.0255,0.0100,0.3277
417031,1.0000,0.0007,0.0004,0.0000,-0.0255,0.0100,0.3273
417364,1.0000,0.0007,0.0004,0.0000,-0.0257,0.0095,0.3271
417697,1.0000,0.0007,0.0003,0.0000,-0.0254,0.0093,0.3277
418031,1.0000,0.0007,0.0003,0.0000,-0.0255,0.0095,0.3279
